,department id:2,department id:3,department id:4,department id:5,department id:6,department id:7,department id:8,department id:9,department id:10,department id:11,department id:12
Douglasville,,"(33.70578003, -84.77498627)","(33.71820068, -84.76467896)","(33.71754074, -84.66046906)","(33.70578003, -84.77498627)","(33.61449432, -84.83332825)",,"(33.59896469, -84.83889771)","(33.71820068, -84.76467896)",,"(33.59896469, -84.83889771)"
Kailua,,"(21.40107918, -157.7463837)","(21.40107918, -157.7463837)","(21.40107918, -157.7463837)","(21.40107918, -157.7463837)","(21.40107918, -157.7463837)",,,,,"(21.40107918, -157.7463837)"
Henrico,,"(37.66836166, -77.65823364)","(37.66836166, -77.65823364)","(37.66836166, -77.65823364)","(37.66836166, -77.65823364)","(37.66836166, -77.65823364)",,"(37.66836166, -77.65823364)",,,"(37.66836166, -77.65823364)"
Spring,,,"(30.03028107, -95.52031708)","(30.04813576, -95.49713135)",,"(32.87660599, -97.42926025)","(30.03028107, -95.52031708)",,"(30.03028107, -95.52031708)",,
Kenner,,"(30.0380249, -90.25691986)","(30.0380249, -90.25691986)",,"(30.0380249, -90.25691986)","(30.0380249, -90.25691986)",,"(30.0380249, -90.25691986)","(30.0380249, -90.25691986)",,
Dubuque,,"(42.52603149, -90.68370056)","(42.50378037, -90.6690979)",,"(42.50378037, -90.6690979)","(42.50378037, -90.6690979)","(42.52932358, -90.68409729)","(42.52932358, -90.68409729)","(42.50378037, -90.6690979)",,
Grove City,,,"(39.86989212, -83.10421753)","(39.88336945, -83.08660126)","(39.85160065, -83.06317139)","(39.86354828, -83.10940552)",,"(39.88336945, -83.08660126)","(39.88336945, -83.08660126)",,
Reseda,,,"(34.19958115, -118.5364075)","(34.12996292, -118.5529556)",,"(34.18635941, -118.5360184)",,"(34.12996292, -118.5529556)","(34.19958115, -118.5364075)",,
Brentwood,,"(42.97330475, -78.68422699)","(40.78068543, -73.24616242)","(40.78068543, -73.24616242)","(42.97330475, -78.68422699)","(40.78068543, -73.24616242)",,"(42.97330475, -78.68422699)","(42.97330475, -78.68422699)",,
Hawthorne,,"(33.91221619, -118.3525696)","(33.91221619, -118.3525696)","(34.13314056, -117.6216202)","(33.91221619, -118.3525696)","(33.91221619, -118.3525696)",,,,,
Vacaville,,,"(38.34882355, -121.9724197)","(38.34882355, -121.9724197)","(38.34882355, -121.9724197)","(38.34882355, -121.9724197)",,"(38.34882355, -121.9724197)",,,"(38.34882355, -121.9724197)"
Lompoc,,"(34.64638138, -120.4619675)","(34.63892365, -120.4556961)","(34.63889694, -120.453064)","(34.63892365, -120.4556961)","(34.63892365, -120.4556961)",,,,,
Everett,,"(47.88882828, -122.2048111)","(47.88882828, -122.2048111)","(47.88882828, -122.2048111)","(47.88882828, -122.2048111)","(47.88882828, -122.2048111)",,,,,
Vallejo,,"(38.10829163, -122.2123947)","(38.10829163, -122.2123947)","(38.10829163, -122.2123947)","(38.10829163, -122.2123947)","(38.10829163, -122.2123947)",,,,,
Asheboro,,"(33.4812088, -111.6446762)","(35.70111466, -79.82025147)","(35.7243309, -79.72133637)",,"(35.70111466, -79.82025147)",,"(35.70111466, -79.82025147)",,,
Chambersburg,,"(39.97754288, -77.56365967)","(39.93404007, -77.66103363)","(39.93404007, -77.66103363)","(39.93404007, -77.66103363)","(39.97754288, -77.56365967)",,,,,
Hamtramck,,"(42.38851166, -83.0442276)","(42.39984894, -83.05892944)","(42.38851166, -83.0442276)","(42.38851166, -83.0442276)","(42.38178635, -83.0545044)","(42.39984894, -83.05892944)","(42.39984894, -83.05892944)","(42.38851166, -83.0442276)",,"(42.39984894, -83.05892944)"
Apopka,,"(28.63298988, -81.45418549)","(28.63298988, -81.45418549)","(28.63298988, -81.45418549)","(28.63298988, -81.45418549)","(28.63298988, -81.45418549)","(28.63298988, -81.45418549)","(28.63298988, -81.45418549)",,,
Citrus Heights,,"(38.67052841, -121.26931)","(38.67052841, -121.26931)","(38.67052841, -121.26931)","(38.67052841, -121.26931)","(38.67052841, -121.26931)","(38.67052841, -121.26931)","(38.67052841, -121.26931)","(38.67052841, -121.26931)",,
Malden,,,"(42.41957855, -71.07949829)",,,"(42.41957855, -71.07949829)",,,,"(42.41957855, -71.07949829)",
Conway,,"(35.09189606, -92.43454742)","(35.09189606, -92.43454742)","(35.09189606, -92.43454742)","(35.12646484, -92.45043945)","(35.09189606, -92.43454742)",,,"(35.09189606, -92.43454742)","(35.09189606, -92.43454742)",
Gwynn Oak,,,"(39.31825638, -76.72803497)","(39.34652329, -76.73791504)",,"(39.31825638, -76.72803497)",,,,,
Broomfield,,,"(37.6722908, -121.0311356)","(37.6722908, -121.0311356)","(39.90267563, -105.087059)","(39.93554306, -105.0457459)","(39.91994858, -105.0687027)","(39.91994858, -105.0687027)","(39.91994858, -105.0687027)",,
Bellingham,,,"(48.77095795, -122.4511185)","(48.77095795, -122.4511185)",,"(48.77095795, -122.4511185)",,,,,
Spokane,,"(47.69986725, -117.4178543)","(47.67959595, -117.4249268)","(47.69986725, -117.4178543)","(47.67959595, -117.4249268)","(47.67959595, -117.4249268)",,"(47.67959595, -117.4249268)","(47.67959595, -117.4249268)",,
Birmingham,,"(33.62078095, -86.68096924)","(33.62078095, -86.68096924)","(33.62078095, -86.68096924)","(33.62078095, -86.68096924)","(33.62078095, -86.68096924)",,,"(33.62078095, -86.68096924)",,
Bay Shore,,,"(40.74032211, -73.30113983)","(40.72079849, -73.24310303)","(40.74021912, -73.30046845)","(40.72079849, -73.24310303)",,,"(40.72079849, -73.24310303)",,
Toa Baja,,"(18.44488907, -66.17352295)","(18.44488907, -66.17352295)",,"(18.44488907, -66.17352295)","(18.44488907, -66.17352295)",,"(18.44488907, -66.17352295)","(18.44488907, -66.17352295)",,
