,department id:2,department id:3,department id:4,department id:5,department id:6,department id:7,department id:8,department id:9,department id:10,department id:11,department id:12
Bismarck,"(46.81184387, -100.7877197)","(46.80438995, -100.7311554)","(46.81184387, -100.7877197)","(46.80438995, -100.7311554)","(46.80438995, -100.7311554)","(46.79725266, -100.7413101)",,"(46.80438995, -100.7311554)",,"(46.81184387, -100.7877197)",
Gaithersburg,"(39.14162064, -77.2270813)","(39.14162064, -77.2270813)","(39.12841034, -77.20714569)","(39.12841034, -77.20714569)","(39.14162064, -77.2270813)","(39.14162064, -77.2270813)","(39.14162064, -77.2270813)",,,,
Honolulu,"(21.30562019, -157.8386993)","(21.30899429, -157.8491516)","(21.28084946, -157.7886047)","(21.36440468, -157.7809296)","(21.30562019, -157.8386993)","(21.32080078, -157.8613892)",,"(21.32080078, -157.8613892)","(21.30562019, -157.8386993)","(21.30562019, -157.8386993)",
Lilburn,"(33.90219879, -84.15373993)","(33.90219879, -84.15373993)","(33.90919495, -84.159935)","(33.90219879, -84.15373993)","(33.90219879, -84.15373993)","(33.90919495, -84.159935)",,"(33.90938187, -84.15722656)","(33.90938187, -84.15722656)","(33.90219879, -84.15373993)",
Virginia Beach,"(36.83838272, -76.11729431)","(36.91083145, -76.12958527)","(36.82529068, -76.20983124)","(36.85002136, -76.03000641)","(36.91083145, -76.12958527)","(36.85002136, -76.03000641)",,"(36.84350205, -76.04109955)","(36.84350205, -76.04109955)",,"(36.91083145, -76.12958527)"
Azusa,"(34.13360977, -117.9058914)","(34.13360977, -117.9058914)","(34.13360977, -117.9058914)","(34.13360977, -117.9058914)","(34.13932037, -117.9074402)","(34.15893173, -117.9053574)",,,,,
Bronx,"(40.83680344, -73.92155457)","(40.87185669, -73.86618805)","(40.84020233, -73.87850952)","(40.84020233, -73.87850952)","(40.84625626, -73.84725189)","(40.87030411, -73.87062073)","(40.84625626, -73.84725189)","(40.85337067, -73.90963745)","(40.84625626, -73.84725189)","(40.81995392, -73.86433411)","(40.83197784, -73.85721588)"
Provo,"(40.3957901, -111.5488815)","(40.3957901, -111.5488815)","(40.3957901, -111.5488815)","(40.3957901, -111.5488815)","(40.3957901, -111.5488815)","(40.3957901, -111.5488815)",,,,,
Columbia,"(35.68884659, -86.81004334)","(35.68884659, -86.81004334)","(35.68884659, -86.81004334)","(35.68884659, -86.81004334)","(35.49790573, -87.1009903)","(38.8861618, -92.44302368)",,"(38.8861618, -92.44302368)","(35.68884659, -86.81004334)","(35.68884659, -86.81004334)","(38.91856384, -92.18528748)"
Stockton,"(37.92684937, -121.3893051)","(37.93386459, -121.3086853)","(37.92694473, -121.3779068)","(38.05592346, -121.1887054)","(37.9607048, -121.3056793)","(37.92920685, -121.2999344)",,"(37.93848801, -121.2816391)","(37.93066025, -121.2998657)",,"(37.93386459, -121.3086853)"
Marietta,"(34.03212357, -84.51288605)","(34.03212357, -84.51288605)","(33.9172287, -84.47109222)","(34.03212357, -84.51288605)","(34.03212357, -84.51288605)","(34.21620941, -84.50444031)",,,"(34.03212357, -84.51288605)",,
Holland,"(42.83187103, -86.07852173)","(42.83187103, -86.07852173)","(29.51066399, -98.54441071)","(42.83187103, -86.07852173)","(29.51066399, -98.54441071)","(29.51066399, -98.54441071)",,"(42.83187103, -86.07852173)","(42.83187103, -86.07852173)",,
Rio Grande,"(42.25645828, -83.41688538)","(18.38014031, -65.83062744)","(18.38014031, -65.83062744)","(42.25645828, -83.41688538)","(37.98626328, -121.8295059)","(28.50914955, -81.40107727)",,,"(37.98626328, -121.8295059)",,"(18.38014031, -65.83062744)"
Brooklyn,"(40.64011765, -73.94268036)","(40.67355347, -73.94458771)","(40.63061905, -73.92346191)","(40.64059448, -73.97518921)","(40.6292305, -73.94178009)","(40.67343903, -73.87017822)","(40.62810135, -73.96759033)","(40.63008881, -73.94149017)","(40.61923981, -74.03337097)","(40.66978836, -73.93567658)","(40.66998673, -73.94486237)"
Denver,"(39.68975067, -105.0245895)","(39.68975067, -105.0245895)","(39.68975067, -105.0245895)","(39.68975067, -105.0245895)","(39.68975067, -105.0245895)","(39.77026367, -105.0207672)","(39.65523911, -104.8748703)","(39.68975067, -105.0245895)","(39.68975067, -105.0245895)",,"(39.71104431, -105.0919266)"
Taylor,"(42.55255508, -83.0960846)","(42.52365494, -85.69445801)","(42.52265549, -85.69891357)","(44.71694946, -84.04858398)",,"(42.22863007, -83.28233337)","(43.56250763, -83.8993454)","(42.22863007, -83.28233337)",,,
Chicago,"(41.89604187, -87.67241669)","(41.7828064, -87.61464691)","(41.89596176, -87.69457245)","(41.69280624, -87.61715698)","(41.89545822, -87.6884613)","(41.90405655, -87.63127899)","(41.89463043, -87.77754211)","(41.85883331, -87.71582031)","(41.52892685, -88.39121246)","(41.8952179, -87.73325348)","(41.89579392, -87.68901062)"
Murfreesboro,"(35.80252075, -86.36358643)","(35.79265595, -86.30457306)","(35.79265595, -86.30457306)","(35.818367, -86.14837647)","(35.74977112, -86.32942963)","(35.80252075, -86.36358643)",,,,"(35.79265595, -86.30457306)",
Cleveland,"(41.39922333, -81.73462677)","(41.47653961, -81.72341919)","(40.91411591, -81.40533447)","(41.42013168, -81.72570038)","(41.51570129, -81.57466888)","(41.45246887, -81.64302826)",,"(41.45246887, -81.64302826)","(41.47253799, -81.73633575)",,
Lockport,"(41.58304977, -88.05521393)","(41.58304977, -88.05521393)","(41.58304977, -88.05521393)","(41.58304977, -88.05521393)","(41.58304977, -88.05521393)","(43.16891098, -78.69216156)",,"(43.16891098, -78.69216156)","(43.16891098, -78.69216156)","(41.58304977, -88.05521393)","(43.16891098, -78.69216156)"
Saint Charles,"(38.77838135, -90.50777435)","(38.78551102, -90.48577881)","(38.68431854, -90.30251312)","(38.78551102, -90.48577881)","(38.77838135, -90.50777435)","(38.77838135, -90.50777435)",,"(38.77838135, -90.50777435)","(38.77838135, -90.50777435)",,
Cupertino,"(37.32138825, -122.0307388)","(37.32278061, -122.062912)","(37.32278061, -122.062912)","(37.32138825, -122.0307388)","(37.32138825, -122.0307388)","(37.32048035, -122.0070953)",,"(37.32278061, -122.062912)","(37.32278061, -122.062912)",,"(37.32278061, -122.062912)"
Springfield,"(37.15639114, -93.28601074)",,"(37.15639114, -93.28601074)","(37.18563843, -93.30171204)","(37.18563843, -93.30171204)","(37.15639114, -93.28601074)",,"(37.18563843, -93.30171204)",,,"(37.18563843, -93.30171204)"
Mission Viejo,"(33.62104797, -117.6759186)","(33.62104797, -117.6759186)","(33.62104797, -117.6759186)","(33.59711838, -117.6485138)","(33.64875412, -117.6374283)","(33.62104797, -117.6759186)",,"(33.64875412, -117.6374283)","(33.62104797, -117.6759186)",,
Roswell,"(33.45235443, -104.5149536)","(34.04711914, -83.82432556)","(34.04711914, -83.82432556)","(33.42520142, -104.5220795)","(33.42520142, -104.5220795)","(34.0256691, -84.35742188)","(34.0256691, -84.35742188)","(34.0256691, -84.35742188)","(33.42520142, -104.5220795)","(34.0256691, -84.35742188)",
Ypsilanti,"(42.24398804, -83.61991119)","(42.24398804, -83.61991119)","(42.24398804, -83.61991119)","(42.24398804, -83.61991119)","(42.26719666, -83.56169891)","(42.24398804, -83.61991119)","(42.24398804, -83.61991119)","(42.24398804, -83.61991119)","(42.24398804, -83.61991119)",,
Peoria,"(33.57873154, -112.266098)","(33.58086395, -112.2466431)","(33.97114945, -118.0944595)","(33.58086014, -112.2549515)","(33.5807991, -112.2556763)","(33.97114945, -118.0944595)","(33.57873154, -112.266098)","(33.57873154, -112.266098)","(33.5807991, -112.2556763)",,
Clementon,"(39.81664658, -74.98467255)","(39.81664658, -74.98467255)","(39.81664658, -74.98467255)","(39.81664658, -74.98467255)","(39.81664658, -74.98467255)","(39.81664658, -74.98467255)",,"(39.81664658, -74.98467255)",,"(39.81664658, -74.98467255)","(39.81664658, -74.98467255)"
Memphis,"(35.18109894, -89.85925293)","(35.19882584, -89.90473938)","(35.07479858, -90.01981354)","(35.08147812, -90.01806641)","(35.2226944, -89.81700134)","(35.2226944, -89.81700134)","(35.17372131, -89.94194031)","(35.11978149, -89.94573975)","(35.20695877, -90.01077271)","(35.0965271, -90.06786346)","(35.19882584, -89.90473938)"
Antioch,"(38.00168991, -121.8279724)","(36.05979919, -86.67125702)","(36.8459816, -119.8808517)","(38.00168991, -121.8279724)","(38.00168991, -121.8279724)","(38.00168991, -121.8279724)","(38.00168991, -121.8279724)","(36.8459816, -119.8808517)","(38.00168991, -121.8279724)","(38.00168991, -121.8279724)",
Salt Lake City,"(40.72672653, -111.9864502)","(40.76031113, -111.8882217)","(40.72182465, -111.9390488)","(40.645504, -111.9668503)","(40.65987396, -112.0028687)","(40.65987396, -112.0028687)",,"(40.69752502, -111.9388733)","(40.65987396, -112.0028687)","(40.76031113, -111.8882217)","(40.69752502, -111.9388733)"
Bakersfield,"(35.31053162, -119.0147934)","(35.31053162, -119.0147934)","(35.31053162, -119.0147934)","(35.36254501, -119.0186996)","(35.36254501, -119.0186996)","(35.36254501, -119.0186996)",,"(35.31053162, -119.0147934)","(35.36254501, -119.0186996)",,
Granada Hills,"(34.07363892, -117.7083511)","(33.72776032, -117.809288)","(34.2639389, -118.4979401)","(34.2639389, -118.4979401)","(34.2639389, -118.4979401)","(34.26103973, -118.5636902)",,"(33.72776032, -117.809288)",,,
Tallahassee,"(30.49506187, -84.24580383)","(30.46254921, -84.23230743)","(30.49506187, -84.24580383)","(30.47019768, -84.28425598)","(30.49506187, -84.24580383)","(30.49506187, -84.24580383)",,"(30.49506187, -84.24580383)","(30.47019768, -84.28425598)",,
Hempstead,"(40.68703461, -73.62446594)",,"(40.66222382, -73.51956177)","(40.66222382, -73.51956177)",,"(40.70431137, -73.63838196)",,,,,
Astoria,"(40.76861954, -73.90949249)","(40.76861954, -73.90949249)","(40.76861954, -73.90949249)","(40.76861954, -73.90949249)","(40.76861954, -73.90949249)","(40.76861954, -73.90949249)",,,"(40.76861954, -73.90949249)",,
Gilroy,"(37.01370621, -121.5893478)","(37.01346207, -121.5961914)","(37.00493622, -121.6690903)","(36.98222733, -121.4390183)","(37.00850678, -121.5172653)","(37.00850678, -121.5172653)",,"(37.00493622, -121.6690903)","(37.00850678, -121.5172653)",,
Lenoir,"(36.11019898, -81.52600861)","(36.11019898, -81.52600861)","(36.11019898, -81.52600861)","(36.11019898, -81.52600861)","(36.11019898, -81.52600861)","(36.11019898, -81.52600861)",,"(35.93436432, -81.49050903)",,,
Columbus,"(39.92808151, -82.98953247)","(32.52082825, -84.88657379)","(32.52082825, -84.88657379)","(40.0230751, -82.8732605)","(40.0230751, -82.8732605)","(39.93561935, -83.13851166)","(39.92808151, -82.98953247)","(40.0230751, -82.8732605)","(40.0230751, -82.8732605)","(32.52082825, -84.88657379)","(32.59525681, -84.90901184)"
Albany,"(44.60580444, -123.1134262)","(44.60580444, -123.1134262)","(44.60060883, -123.1132736)","(44.63076019, -123.1084366)","(44.60060883, -123.1132736)","(44.60580444, -123.1134262)",,,,,
Humacao,"(18.1501503, -65.82595062)","(18.1501503, -65.82595062)","(18.1501503, -65.82595062)","(18.1501503, -65.82595062)","(18.1501503, -65.82595062)","(18.1501503, -65.82595062)","(18.1501503, -65.82595062)","(18.1501503, -65.82595062)","(18.1501503, -65.82595062)",,"(18.1501503, -65.82595062)"
Lindenhurst,"(40.68665695, -73.37553406)","(40.68665695, -73.37553406)","(40.68665695, -73.37553406)","(40.68665695, -73.37553406)",,"(40.68665695, -73.37553406)","(40.68665695, -73.37553406)","(40.68665695, -73.37553406)",,,
Elyria,"(41.35387421, -82.21312714)","(41.36125946, -82.11012268)","(41.36125946, -82.11012268)","(41.36125946, -82.11012268)","(41.36125946, -82.11012268)","(41.36125946, -82.11012268)",,"(41.36125946, -82.11012268)","(41.36125946, -82.11012268)","(41.35387421, -82.21312714)","(41.36125946, -82.11012268)"
Riverside,"(34.00051498, -117.3526077)","(33.94646072, -117.3893662)","(33.94646072, -117.3893662)","(33.94857025, -117.4247208)","(34.02658844, -117.3722153)","(33.94258881, -117.4573898)",,"(33.93642426, -117.4205856)","(33.93642426, -117.4205856)",,
Carson,"(33.83247376, -118.105423)","(33.83358002, -118.2306366)","(33.83131027, -118.2677536)","(33.83131027, -118.2677536)","(33.83167267, -118.0937347)","(33.8317833, -118.2343597)",,,"(33.83131027, -118.2677536)",,"(33.83167267, -118.0937347)"
Mesa,"(33.43081665, -111.8384018)","(33.43081665, -111.8384018)","(35.31580734, -114.3131638)","(33.43081665, -111.8384018)","(33.48134995, -111.6444626)","(33.48134995, -111.6444626)",,"(33.44461441, -111.8397598)","(33.43081665, -111.8384018)",,
Lombard,"(41.84544373, -88.0118866)","(41.84544373, -88.0118866)","(41.85577774, -88.00856781)","(41.85577774, -88.00856781)","(41.84544373, -88.0118866)","(41.84544373, -88.0118866)","(41.82910156, -87.77791596)",,,,
Encinitas,"(33.04647064, -117.2896729)","(33.04647064, -117.2896729)","(33.04647064, -117.2896729)","(33.04647064, -117.2896729)","(33.04647064, -117.2896729)","(33.04647064, -117.2896729)",,"(33.04647064, -117.2896729)",,,
Tampa,"(28.10211754, -82.51211548)","(28.03824806, -82.46046448)","(28.03085518, -82.50086212)","(28.10211754, -82.51211548)","(28.03085518, -82.50086212)","(28.10211754, -82.51211548)","(28.03085518, -82.50086212)","(28.03085518, -82.50086212)","(27.10077477, -82.4425354)",,
San Benito,"(26.140728, -97.66805267)","(26.140728, -97.66805267)","(26.140728, -97.66805267)","(26.140728, -97.66805267)","(26.140728, -97.66805267)","(26.140728, -97.66805267)",,"(26.140728, -97.66805267)","(26.140728, -97.66805267)",,
Indianapolis,"(39.83699036, -86.01907349)","(39.92660523, -86.3370285)","(39.64605331, -86.11961365)","(39.92660523, -86.3370285)","(39.64605331, -86.11961365)","(18.25650024, -86.45420837)","(39.64605331, -86.11961365)","(39.64605331, -86.11961365)",,,
Enfield,"(42.00019074, -72.59646606)","(44.70373917, -93.17900848)","(42.00019074, -72.59646606)","(44.70373917, -93.17900848)","(42.00019074, -72.59646606)","(44.70373917, -93.17900848)","(42.00019074, -72.59646606)",,,,
Modesto,"(37.61849976, -121.0116348)","(37.66708756, -120.9958801)","(37.67465973, -120.9430389)","(37.68267441, -121.0301971)","(37.69023132, -121.0020142)","(37.67303085, -121.0322037)","(37.67465973, -120.9430389)","(37.68267441, -121.0301971)","(37.68267441, -121.0301971)",,"(37.68267441, -121.0301971)"
Irvington,"(40.73097992, -74.22322846)","(40.7195549, -74.22688294)","(40.73097992, -74.22322846)","(40.73097992, -74.22322846)","(40.73097992, -74.22322846)","(40.73097992, -74.22322846)",,,"(40.73097992, -74.22322846)",,
Norfolk,"(36.94200516, -76.24208069)","(36.94371414, -76.25325012)","(36.95009995, -76.24848938)","(36.94937897, -76.24703217)","(36.94200516, -76.24208069)","(36.94044876, -76.25640106)","(36.94200516, -76.24208069)","(36.94200516, -76.24208069)","(36.94200516, -76.24208069)",,"(36.94200516, -76.24208069)"
Gardena,"(33.89164734, -118.299408)","(33.88138962, -118.2984924)","(33.88138962, -118.2984924)","(33.88138962, -118.2984924)","(33.71219254, -117.1819229)","(33.71219254, -117.1819229)",,"(33.88169861, -118.2857132)","(33.88169861, -118.2857132)",,
Forest Hills,"(42.08637619, -76.85916138)","(42.08637619, -76.85916138)","(40.72266007, -73.84790802)","(40.72266007, -73.84790802)","(42.08637619, -76.85916138)","(42.08637619, -76.85916138)",,,"(42.08637619, -76.85916138)",,"(42.08637619, -76.85916138)"
Ontario,"(34.06832504, -117.6557541)","(34.06832504, -117.6557541)","(34.03303146, -117.6386414)","(34.07656479, -117.61409)","(34.03303146, -117.6386414)","(34.03303146, -117.6386414)","(34.07656479, -117.61409)","(34.07656479, -117.61409)","(34.03303146, -117.6386414)",,"(34.03303146, -117.6386414)"
Webster,"(43.20886993, -77.45961762)",,"(40.86772919, -73.88317108)","(37.77796936, -121.9719162)","(42.42012024, -79.31320953)","(40.86772919, -73.88317108)","(43.23522186, -77.42858887)","(42.36322784, -79.48626709)",,,
New York,"(40.85889053, -73.93106842)","(40.79811859, -73.96691895)","(40.73928452, -73.99893189)","(40.78022003, -73.95043945)","(40.73124313, -73.98880768)","(40.62769318, -73.94441986)",,"(40.79290009, -73.94426727)","(40.72668076, -73.97971344)","(40.74559021, -73.97927856)","(40.73928452, -73.99893189)"
Brownsville,"(25.90582848, -97.48308563)","(25.87951469, -97.40779877)","(32.14518356, -111.0048065)","(26.01622772, -97.55728912)","(25.90582848, -97.48308563)","(25.90209007, -97.48801422)","(25.96162796, -97.57725525)","(25.94599915, -97.42382813)","(25.94593239, -97.42375946)",,
Dearborn,"(42.37572861, -83.41314697)","(42.32353973, -83.17635346)","(42.32353973, -83.17635346)","(42.31448364, -83.19998169)","(42.32353973, -83.17635346)","(42.31448364, -83.19998169)","(42.29296112, -83.1806488)","(42.32353973, -83.17635346)","(42.32353973, -83.17635346)",,
Corona,"(40.74015808, -73.84850311)","(40.74015808, -73.84850311)","(33.8950882, -117.5264206)","(40.74443436, -73.86535645)","(33.8950882, -117.5264206)","(40.74443436, -73.86535645)","(40.74406433, -73.8658371)",,"(40.74015808, -73.84850311)",,"(33.82506943, -117.5263596)"
Carrollton,"(32.96593094, -96.84902191)","(32.96593094, -96.84902191)","(32.96593094, -96.84902191)","(32.96593094, -96.84902191)","(32.96593094, -96.84902191)","(32.96593094, -96.84902191)","(32.96593094, -96.84902191)","(32.96593094, -96.84902191)","(32.96593094, -96.84902191)",,
Compton,"(33.94784164, -118.2462921)","(33.89620972, -118.1892471)","(33.89620972, -118.1892471)","(33.89620972, -118.1892471)","(33.90319061, -118.2131882)","(33.8960495, -118.1990738)","(33.89525223, -118.2616577)","(33.89525223, -118.2616577)","(33.98011398, -118.2476578)",,
Simi Valley,"(34.27391052, -118.7662125)","(34.26791382, -118.6712112)","(34.27391052, -118.7662125)","(34.27262497, -118.7107468)","(34.26791382, -118.6712112)","(34.27391052, -118.7662125)",,"(34.27262497, -118.7107468)",,,"(34.27262497, -118.7107468)"
Lancaster,"(34.7522049, -80.52465057)","(34.69713211, -118.0361862)","(34.69664383, -118.1911469)","(37.72990799, -122.4132996)","(40.04209137, -76.29911041)","(34.81822968, -118.5527115)","(40.0741272, -76.35184479)","(34.71903229, -117.8989029)","(40.0741272, -76.35184479)",,"(34.69664383, -118.1911469)"
Garland,"(32.83969879, -96.60076141)","(32.83969879, -96.60076141)","(32.92588425, -96.64833069)","(32.95038223, -96.65195465)","(32.94395828, -96.64823151)","(32.94395828, -96.64823151)",,"(32.95108414, -96.65323639)","(32.95108414, -96.65323639)","(32.95038223, -96.65195465)",
Arecibo,"(18.46923065, -66.727211)","(39.49591446, -98.98998261)","(39.49591446, -98.98998261)","(18.46923065, -66.727211)","(39.49591446, -98.98998261)","(39.49591446, -98.98998261)",,"(18.46923065, -66.727211)","(18.46923065, -66.727211)",,"(18.46923065, -66.727211)"
Opelousas,"(30.51556969, -92.04453278)","(30.52569199, -92.07609558)","(30.52569199, -92.07609558)","(30.24161911, -97.89144135)","(30.52569199, -92.07609558)","(30.54183579, -92.08623505)","(30.50694084, -92.192482)",,"(30.57155609, -92.15605164)",,
Waipahu,"(21.39037895, -158.0046234)","(21.41267014, -157.997879)","(21.41267014, -157.997879)","(21.39037895, -158.0046234)","(21.39037895, -158.0046234)","(21.39037895, -158.0046234)",,"(21.39037895, -158.0046234)","(21.39037895, -158.0046234)",,"(21.39037895, -158.0046234)"
Tucson,"(32.27982712, -110.9582291)","(32.23588181, -110.8283615)","(32.19657517, -111.0930252)","(32.14844894, -110.9228516)","(32.19884491, -111.0877686)","(32.25922394, -110.9718781)",,"(32.15084076, -111.0030136)","(32.14290619, -111.1434402)","(32.14844894, -110.9228516)","(32.13871384, -111.1568909)"
Carmichael,"(38.60803223, -121.3219528)","(38.61355591, -121.3431702)","(38.61899185, -121.3215637)","(38.61899185, -121.3215637)","(38.61355591, -121.3431702)","(38.61355591, -121.3431702)",,"(38.61152649, -121.3276215)",,,
Tustin,"(33.72813416, -117.8139343)","(36.82581329, -121.6408463)","(36.81669235, -121.6491547)","(33.72813416, -117.8139343)","(36.82581329, -121.6408463)","(33.77279663, -117.8358154)",,"(33.72813416, -117.8139343)","(33.72813416, -117.8139343)",,
Loveland,"(39.29779434, -84.28598023)","(39.27056122, -84.27059174)","(39.27106476, -84.27436829)","(39.29779434, -84.28598023)","(39.29779434, -84.28598023)","(39.29779434, -84.28598023)",,"(39.29779434, -84.28598023)","(39.29779434, -84.28598023)",,"(39.29779434, -84.28598023)"
Anaheim,"(33.81289673, -117.9363785)","(33.84394455, -117.9417572)","(33.83805847, -117.9110107)","(33.84204102, -117.9182358)","(33.81289673, -117.9363785)","(33.81289673, -117.9363785)",,"(33.82387161, -118.0073929)","(33.83805847, -117.9110107)",,
Canton,"(42.34501267, -83.48901367)","(42.34844208, -83.43744659)","(42.32170487, -83.48783875)","(42.31040192, -83.48737335)","(42.34844208, -83.43744659)","(42.34844208, -83.43744659)",,"(42.34844208, -83.43744659)","(42.34844208, -83.43744659)",,
Stafford,"(38.42304611, -77.40518951)",,"(38.46184921, -77.41799164)","(38.46184921, -77.41799164)","(38.47009659, -77.43721771)","(38.40554047, -77.32126617)","(38.46184921, -77.41799164)","(38.46184921, -77.41799164)","(38.46184921, -77.41799164)",,
San Diego,"(32.77620316, -117.1343994)","(33.96883011, -118.2659454)","(32.75012589, -117.1374207)","(32.57044601, -117.084259)","(32.57044601, -117.084259)","(32.7514801, -117.1934433)","(32.75012589, -117.1374207)","(32.75856018, -117.0881882)","(32.7794342, -117.1718597)",,"(32.74953461, -117.1046524)"
South Richmond Hill,"(40.68805313, -73.82411957)","(40.68925095, -74.0466919)","(40.68805313, -73.82411957)","(40.68925095, -74.0466919)","(40.68925095, -74.0466919)","(40.68925095, -74.0466919)",,"(40.68805313, -73.82411957)",,,
Middletown,"(39.44261551, -84.4282074)","(41.55907822, -72.65383911)","(41.55907822, -72.65383911)","(39.44352341, -84.42760468)","(41.55907822, -72.65383911)","(39.44352341, -84.42760468)","(39.48305893, -84.33435059)","(39.44352341, -84.42760468)","(39.4593544, -84.4200058)",,
Eugene,"(44.0263443, -123.0935287)","(44.0263443, -123.0935287)","(44.05007172, -123.1093521)","(44.05007172, -123.1093521)","(44.0263443, -123.0935287)","(44.05007172, -123.1093521)",,"(44.0263443, -123.0935287)","(44.05007172, -123.1093521)","(44.04791641, -123.1409988)",
Chino Hills,"(33.99795914, -117.7616272)","(33.99795914, -117.7616272)","(33.98551178, -117.7488937)","(34.0086174, -117.7501831)","(33.98551178, -117.7488937)","(33.98551178, -117.7488937)",,"(33.98258972, -117.7285538)",,"(34.0104599, -117.7420883)",
Glendale,"(33.5399437, -112.1772079)","(33.81112289, -112.0818558)","(33.53771973, -112.2307434)","(33.66019821, -112.1931229)","(33.66019821, -112.1931229)","(33.53858185, -112.1873779)","(33.5399437, -112.1772079)","(33.5399437, -112.1772079)","(33.53856659, -112.1780472)","(33.53820038, -112.2271423)",
West Orange,"(40.77758408, -74.2411499)","(40.79269791, -74.23181915)","(40.77758408, -74.2411499)","(40.55156326, -74.44460297)","(40.79269791, -74.23181915)","(40.77758408, -74.2411499)",,,"(40.77758408, -74.2411499)","(40.77758408, -74.2411499)",
Daly City,"(37.69022751, -122.4631653)","(37.69598389, -122.4800415)","(37.69309616, -122.4649353)","(37.69598389, -122.4800415)","(37.69309616, -122.4649353)","(37.69309616, -122.4649353)",,,"(37.69022751, -122.4631653)","(37.69598389, -122.4800415)","(37.69598389, -122.4800415)"
Houston,"(30.06246758, -95.18769074)","(29.89382553, -95.47636414)","(29.80212975, -95.48387909)","(29.75289917, -95.3526535)","(29.77747345, -95.37239075)","(29.76454735, -95.37255096)","(29.69653702, -95.6459198)","(29.71482086, -95.51293945)","(29.71290207, -95.48719025)","(29.69653702, -95.6459198)","(29.82917404, -95.26997376)"
Strongsville,"(41.30748749, -81.83231354)","(41.3469696, -81.82631683)","(41.3469696, -81.82631683)","(41.3469696, -81.82631683)","(41.3469696, -81.82631683)","(41.30748749, -81.83231354)","(41.30748749, -81.83231354)","(41.3469696, -81.82631683)","(41.3469696, -81.82631683)","(41.3469696, -81.82631683)",
Powder Springs,"(33.86013031, -84.68437958)","(33.88493729, -84.61763763)","(33.88493729, -84.61763763)","(33.86013031, -84.68437958)","(33.86013031, -84.68437958)","(33.86013031, -84.68437958)",,"(33.86013031, -84.68437958)",,"(33.86013031, -84.68437958)","(33.86013031, -84.68437958)"
Parkville,"(39.3816185, -76.54323578)","(39.37016296, -76.54606628)","(39.39559937, -76.54616547)","(39.3816185, -76.54323578)","(39.3816185, -76.54323578)","(39.38328171, -76.534729)","(39.3816185, -76.54323578)",,,"(39.3816185, -76.54323578)",
Saint Paul,"(45.06081772, -93.1992569)","(44.95698166, -93.06536865)","(44.72552109, -93.20613098)","(45.06081772, -93.1992569)","(44.95698166, -93.06536865)","(34.00076294, -117.8856812)","(45.11030579, -93.20082092)","(45.11030579, -93.20082092)","(44.96070862, -93.16983795)","(45.06081772, -93.1992569)",
Hialeah,"(25.87724495, -80.33294678)","(25.9354763, -80.3160553)","(25.9354763, -80.3160553)","(25.87724495, -80.33294678)","(25.81123352, -80.26307678)","(25.86688042, -80.31456757)","(25.83031082, -80.27851105)","(25.82266045, -80.28019714)","(25.87724495, -80.33294678)","(25.83031082, -80.27851105)","(25.82274056, -80.27992249)"
Beloit,"(42.49619293, -88.99088287)","(42.54093933, -89.13452911)","(42.52360916, -88.98700714)","(42.50053024, -89.02419281)","(42.54093933, -89.13452911)","(42.50544357, -89.04527283)",,,,"(42.49619293, -88.99088287)",
Hamilton,"(36.72526169, -119.7846375)","(39.43796921, -84.58844757)","(39.31953049, -84.64208221)","(39.28759003, -84.69515228)","(39.3985405, -84.55661774)","(39.31953049, -84.64208221)","(39.28759003, -84.69515228)","(39.43796921, -84.58844757)","(39.43796921, -84.58844757)","(39.3985405, -84.55661774)","(39.3805542, -84.53031921)"
Greenville,"(35.67084885, -77.48187256)","(35.80388641, -77.47067261)","(35.80388641, -77.47067261)","(35.80388641, -77.47067261)","(35.57654572, -77.35910797)","(35.68597794, -77.32643127)",,"(35.80388641, -77.47067261)","(35.60322189, -77.33307648)","(35.57654572, -77.35910797)",
Stamford,"(39.94430924, -86.03607941)","(41.04875183, -73.5615921)","(39.94430924, -86.03607941)","(39.94430924, -86.03607941)","(41.03129959, -73.52871704)","(41.04875183, -73.5615921)",,"(41.0539093, -73.54837036)","(41.03129959, -73.52871704)",,
Hanover,"(39.80402374, -76.97429657)","(39.72228622, -76.91753388)","(39.79858017, -77.03074646)","(39.72228622, -76.91753388)","(39.80316162, -77.00598908)","(39.80316162, -77.00598908)","(39.80392075, -76.97429657)","(39.79858017, -77.03074646)",,,
Diamond Bar,"(33.9956665, -117.8156967)","(33.98986816, -117.820282)","(33.9956665, -117.8156967)","(33.98986816, -117.820282)","(33.98986816, -117.820282)","(33.98832321, -117.8225632)",,"(34.02568817, -117.8119507)",,,"(33.97376633, -117.8378296)"
Escondido,"(33.12691498, -117.075058)","(33.12081146, -117.1017685)","(33.11693955, -117.0821228)","(33.13901901, -117.0928192)","(33.13901901, -117.0928192)","(33.11693955, -117.0821228)","(33.13356781, -117.053154)","(33.13356781, -117.053154)","(33.13356781, -117.053154)",,
Spring Valley,"(42.33480835, -74.93064117)","(32.7171402, -117.0108337)","(32.74972153, -117.0022583)","(32.75128555, -117.0022278)","(32.75936127, -117.0171356)","(32.71469498, -117.003624)",,"(32.75128555, -117.0022278)","(41.21263504, -73.81626892)","(32.74972153, -117.0022583)",
